Date,State,Category,Dollars,LastYear
2019-12-01,Arizona,Alcohol,46994594,33565222
2019-12-08,Arizona,Alcohol,35783818,35075763
2019-12-15,Arizona,Alcohol,38536864,36877662
2019-12-22,Arizona,Alcohol,46643933,44901821
2019-12-29,Arizona,Alcohol,47842733,44337765
2020-01-05,Arizona,Alcohol,39007007,35944618
2020-01-12,Arizona,Alcohol,33219495,32053471
2020-01-19,Arizona,Alcohol,35344561,33136960
2020-01-26,Arizona,Alcohol,36263953,34196756
2020-02-02,Arizona,Alcohol,40354985,38284964
2020-02-09,Arizona,Alcohol,36376107,34891104
2020-02-16,Arizona,Alcohol,39217461,35240922
2020-02-23,Arizona,Alcohol,37193095,33836804
2020-03-01,Arizona,Alcohol,37954789,36128547
2020-03-08,Arizona,Alcohol,39952317,36014907
2020-03-15,Arizona,Alcohol,47295061,36658983
2020-03-22,Arizona,Alcohol,50036509,38150070
2020-03-29,Arizona,Alcohol,42756591,37040597
2020-04-05,Arizona,Alcohol,46409937,36030307
2020-04-12,Arizona,Alcohol,46053788,36179428
2020-04-19,Arizona,Alcohol,46308046,39531671
2020-04-26,Arizona,Alcohol,48418630,34838416
2020-05-03,Arizona,Alcohol,50589709,36057635
2020-05-10,Arizona,Alcohol,52189050,35895272
2020-05-17,Arizona,Alcohol,47551007,33996705
2020-05-24,Arizona,Alcohol,50844425,37957895
2020-05-31,Arizona,Alcohol,45682629,34925615
2020-06-07,Arizona,Alcohol,44112115,35284803
2020-06-14,Arizona,Alcohol,43556819,35748574
2020-06-21,Arizona,Alcohol,45652521,34527385
2020-06-28,Arizona,Alcohol,42423085,35703298
2020-07-05,Arizona,Alcohol,48712256,41277564
2020-07-12,Arizona,Alcohol,40728485,33628136
2020-07-19,Arizona,Alcohol,41117734,34499313
2020-07-26,Arizona,Alcohol,41348847,34127230
2020-08-02,Arizona,Alcohol,42511415,34992995
2020-08-09,Arizona,Alcohol,42192981,34926535
2020-08-16,Arizona,Alcohol,42073643,35020819
2020-08-23,Arizona,Alcohol,42418561,35501971
2020-08-30,Arizona,Alcohol,42111855,38809670
2020-09-06,Arizona,Alcohol,45762587,35710327
2020-09-13,Arizona,Alcohol,41332009,34809884
2020-09-20,Arizona,Alcohol,41106391,35432799
2020-09-27,Arizona,Alcohol,42502640,35093644
2020-10-04,Arizona,Alcohol,41944494,35971447
2020-10-11,Arizona,Alcohol,41852690,36162958
2020-10-18,Arizona,Alcohol,41970830,36964663
2020-10-25,Arizona,Alcohol,43106993,37504197
2020-11-01,Arizona,Alcohol,44733057,38188808
2020-11-08,Arizona,Alcohol,42280788,37987530
2020-11-15,Arizona,Alcohol,41990413,38492575
2020-11-22,Arizona,Alcohol,46472133,40292874
2020-11-29,Arizona,Alcohol,50374647,46994594
2020-12-06,Arizona,Alcohol,39534097,35783818
2020-12-13,Arizona,Alcohol,42621314,38536864
2020-12-20,Arizona,Alcohol,46563004,46643933
2020-12-27,Arizona,Alcohol,54981984,47842733
2021-01-03,Arizona,Alcohol,49943403,39008019
2021-01-10,Arizona,Alcohol,38748013,33219495
2021-01-17,Arizona,Alcohol,40753920,35344561
2021-01-24,Arizona,Alcohol,41122502,36265272
2021-01-31,Arizona,Alcohol,39097989,40366067
2021-02-07,Arizona,Alcohol,44367137,36389835
2021-02-14,Arizona,Alcohol,43950712,39264424
2021-02-21,Arizona,Alcohol,40530343,37203425
2021-02-28,Arizona,Alcohol,41016666,37983679
2021-03-07,Arizona,Alcohol,42424510,39989875
2021-03-14,Arizona,Alcohol,43260890,47326994
2021-03-21,Arizona,Alcohol,44995203,50072253
2021-03-28,Arizona,Alcohol,43282513,42781559
2021-04-04,Arizona,Alcohol,49322676,46440544
2021-04-11,Arizona,Alcohol,44104722,46082223
2021-04-18,Arizona,Alcohol,42674252,46339575
